species,lon,lat,group
arabis,9.00239,42.06205,11
arabis,8.99663,42.47272,11
arabis,9.22394,42.04557,11
arabis,9.2249,41.84235,11
arabis,9.36781,42.31654,11
arabis,8.94839,42.45666,11
arabis,8.94646,42.37966,11
arabis,11.037655,46.843521,11
arabis,17.15215,67.01845,11
arabis,17.17317,67.01031,11
arabis,14.41446,65.06774,11
arabis,14.206421,45.292254,11
arabis,19.908814,49.243688,11
arabis,-5.154947,42.96353,11
arabis,-5.102475,43.005766,11
arabis,-5.101514,42.950918,11
arabis,10.229395,47.401946,11
arabis,9.129875,62.640932,11
arabis,26.969168,69.691728,11
arabis,13.712892,42.401357,11
arabis,10.713961,46.864423,11
arabis,-4.980344,43.273845,11
arabis,-4.834633,43.255024,11
arabis,-21.118464,64.457887,11
arabis,10.831475,47.362781,11
arabis,11.719998,43.878531,11
arabis,10.613102,46.496219,11
arabis,11.175711,47.388029,11
arabis,-1.876906,42.936474,11
arabis,15.3672,67.0207,11
arabis,-2.53111,43.27917,11
arabis,6.65968,44.35445,11
arabis,6.92706,44.42711,11
arabis,6.75636,44.28134,11
arabis,6.79633,44.34305,11
arabis,6.79048,44.45046,11
arabis,6.65941,44.15664,11
arabis,6.59438,44.33307,11
arabis,6.77839,44.40264,11
arabis,6.5808,44.33593,11
arabis,6.5466,44.33757,11
arabis,6.73969,44.33226,11
arabis,6.67563,44.25056,11
arabis,6.77026,44.2798,11
arabis,6.8711,44.46804,11
arabis,6.70494,44.21144,11
arabis,6.65734,44.18406,11
arabis,6.82803,44.3458,11
arabis,6.72905,44.25498,11
arabis,6.68456,44.17798,11
arabis,6.77255,44.38654,11
arabis,6.80027,44.45664,11
arabis,7.56657,44.04816,11
arabis,7.59052,44.00001,11
arabis,7.60798,44.09338,11
arabis,7.63428,44.12114,11
arabis,7.5013,43.99202,11
arabis,7.47595,44.04936,11
arabis,7.54885,44.08434,11
arabis,7.47681,44.03608,11
arabis,7.5479,44.12583,11
arabis,7.53025,44.06709,11
arabis,7.65538,43.98092,11
arabis,6.72864,43.85074,11
arabis,5.77649,43.33152,11
arabis,5.82512,43.34539,11
arabis,7.34831,47.48534,11
arabis,6.82068,43.74375,11
arabis,5.81393,46.69061,11
arabis,5.8186,46.78059,11
arabis,5.9594,46.95725,11
arabis,5.82799,46.96055,11
arabis,6.35914,47.03641,11
arabis,5.97426,47.22716,11
arabis,5.9447,46.68733,11
arabis,6.10113,47.13373,11
arabis,6.90479,47.28966,11
arabis,6.07544,46.6839,11
arabis,6.76632,47.20411,11
arabis,6.10632,47.22369,11
arabis,5.82329,46.87057,11
arabis,5.93983,46.59735,11
arabis,5.68761,46.78373,11
arabis,6.09596,47.04377,11
arabis,6.37602,47.30625,11
arabis,6.06023,46.41397,11
arabis,6.22755,47.04017,11
arabis,6.34242,46.76655,11
arabis,5.95449,46.86728,11
arabis,6.79237,44.32138,11
arabis,6.86201,44.31283,11
arabis,5.55236,46.69673,11
arabis,5.69208,46.87372,11
arabis,6.07036,46.59392,11
arabis,5.54814,46.60673,11
arabis,5.68316,46.69374,11
arabis,6.76003,47.11418,11
arabis,7.09181,45.3859,11
arabis,6.58743,45.37011,11
arabis,6.89067,44.03858,11
arabis,5.46084,45.94333,11
arabis,9.15923,41.91827,11
arabis,-0.29062,42.95102,11
arabis,7.45789,43.9593,11
arabis,-0.31589,42.96837,11
arabis,5.94831,46.28901,11
arabis,0.42742,42.9394,11
arabis,6.99589,43.79998,11
arabis,5.90613,44.6748,11
arabis,1.55996,42.7849,11
arabis,5.43778,45.07966,11
arabis,6.14021,45.68824,11
arabis,2.15675,42.58797,11
arabis,5.86353,46.1836,11
arabis,6.7875,45.26792,11
arabis,3.28284,44.57925,11
arabis,5.82024,45.30241,11
arabis,5.56133,45.23819,11
arabis,6.92888,45.2802,11
arabis,5.56986,45.16591,11
arabis,6.85033,46.01247,11
arabis,6.54684,45.98349,11
arabis,6.74574,46.10525,11
arabis,6.06947,45.02417,11
arabis,9.16811,42.09784,11
arabis,5.42383,44.828,11
arabis,5.76565,46.27667,11
arabis,5.86802,44.8507,11
arabis,5.65522,44.67725,11
arabis,5.59421,45.1472,11
arabis,5.36652,44.9376,11
arabis,6.06085,45.65488,11
arabis,5.87105,45.49893,11
arabis,5.93349,44.8846,11
arabis,5.35095,44.88402,11
arabis,6.83254,45.19403,11
arabis,6.01199,45.69252,11
arabis,5.75324,45.25047,11
arabis,5.72055,45.34151,11
arabis,6.72933,44.85581,11
arabis,5.72999,45.28719,11
arabis,5.49408,44.95204,11
arabis,5.81526,44.81636,11
arabis,6.5715,45.78088,11
arabis,-0.16006,43.04403,11
arabis,5.74541,45.95309,11
arabis,6.3251,45.93404,11
arabis,6.27091,45.17931,11
arabis,-0.3728,43.05473,11
arabis,0.88604,42.97182,11
arabis,1.03206,42.83735,11
arabis,2.73217,45.12559,11
arabis,2.69998,45.14999,11
arabis,6.44336,45.46034,11
arabis,6.01998,46.31622,11
arabis,20.834722,69.084722,11
arabis,13.560554,68.203835,11
arabis,18.972545,68.997638,11
arabis,12.275827,47.142444,11
arabis,9.824444,47.131434,11
arabis,11.378532,47.306084,11
arabis,13.441638,47.776122,11
arabis,25.496171,67.710497,11
arabis,25.479636,68.043071,11
arabis,29.391419,67.819064,11
arabis,20.853335,69.054291,11
arabis,15.89641,66.76687,11
arabis,10.152014,62.103806,11
arabis,24.615305,45.603592,11
arabis,15.807354,47.718791,11
arabis,20.914534,69.04134,11
arabis,15.833636,47.75932,11
arabis,20.74326,39.892939,11
arabis,-18.369207,64.868851,11
arabis,11.39,47.52,11
arabis,10.99,47.66,11
arabis,11.46,47.56,11
arabis,11.58,47.65,11
arabis,12.66,47.71,11
arabis,12.41,47.72,11
arabis,12.46,47.67,11
arabis,11.77,47.63,11
arabis,11.78,47.62,11
arabis,11.48,48,11
arabis,10.84,47.57,11
arabis,9.807515,45.936984,11
arabis,0.4978,42.71397,11
arabis,6.82445,45.54601,11
arabis,12.017533,46.528466,11
arabis,21.053186,69.388056,11
arabis,21.079588,69.394958,11
arabis,11.51,49.61,11
arabis,10.1885,62.3658,11
arabis,10.1874,62.3389,11
arabis,8.84884,46.87493,11
arabis,8.44943,46.56429,11
arabis,8.51823,46.74359,11
arabis,8.65008,46.78725,11
arabis,7.002185,46.371118,11
arabis,7.47099,46.11899,11
arabis,10.360755,62.646186,11
arabis,32.095,69.9227,11
arabis,32.035,69.7432,11
arabis,31.872,69.7013,11
arabis,32.8467,69.7652,11
arabis,31.8735,69.7699,11
arabis,32.1693,69.7165,11
arabis,20.64992,41.70775,11
arabis,11.951025,61.731935,11
arabis,11.0429,62.693076,11
arabis,9.421025,47.280597,11
arabis,10.56002,62.688102,11
arabis,10.561214,62.712731,11
arabis,10.853023,62.764894,11
arabis,11.278052,62.446554,11
arabis,10.325811,63.022524,11
arabis,11.425909,47.330451,11
arabis,16.1436,66.89422,11
arabis,14.59949,66.077,11
arabis,19.041633,48.880383,11
arabis,7.643,46.09215,11
arabis,11.4203,49.7544,11
arabis,11.027217,46.493567,11
arabis,10.671,63.434,11
arabis,9.58466,46.47621,11
arabis,9.09318,42.13738,11
arabis,0.86,42.66,11
arabis,2.21,42.62,11
arabis,-6.213,57.241,11
arabis,11.63351,46.461587,11
arabis,10.06798,46.31336,11
arabis,8.77767,46.65087,11
arabis,7.14195,47.15308,11
arabis,8.91937,47.05398,11
arabis,8.05358,46.1623,11
arabis,6.48751,46.87965,11
arabis,7.40628,46.16397,11
arabis,9.37501,46.91223,11
arabis,9.75315,46.54523,11
arabis,7.40603,46.56877,11
arabis,8.32269,46.79025,11
arabis,7.27464,46.8835,11
arabis,7.00901,47.28759,11
arabis,7.53794,47.37829,11
arabis,9.972369,62.941553,11
arabis,12.63,47.13,11
arabis,13.6,47.22,11
arabis,12.22,47.1,11
arabis,-18.07,65.64,11
arabis,13.24,47.78,11
arabis,12.97,47.89,11
arabis,13.19,47.5,11
arabis,13.6,47.29,11
arabis,12.58,47.23,11
